stateid,timeid,dose1,dose2
Punjab,2,204795.0,64839.0
Punjab,3,1439849.0,196110.0
Punjab,4,1737539.0,441101.0
Punjab,5,949702.0,119870.0
Punjab,6,1916051.0,635360.0
Punjab,7,2066095.0,1061291.0
Rajasthan,1,586110.0,0.0
Rajasthan,2,1776458.0,444118.0
Rajasthan,3,6633670.0,783246.0
Rajasthan,4,3031261.0,1737086.0
Rajasthan,5,4519346.0,382711.0
Rajasthan,6,5791524.0,1757813.0
Rajasthan,7,6193413.0,3878585.0
Sikkim,1,8042.0,0.0
Sikkim,2,31074.0,7585.0
Sikkim,3,85416.0,9660.0
Sikkim,4,41587.0,42338.0
Sikkim,5,60281.0,253.0
Sikkim,6,224637.0,65751.0
Sikkim,7,49792.0,32455.0
Tamil Nadu,1,195796.0,671.0
Tamil Nadu,2,911263.0,120061.0
Tamil Nadu,3,2533984.0,348350.0
Tamil Nadu,4,1485027.0,1414778.0
Tamil Nadu,5,3840440.0,286716.0
Tamil Nadu,6,6356011.0,1055142.0
Tamil Nadu,7,6425588.0,1673657.0
Telangana,1,210201.0,2337.0
Telangana,2,254667.0,205766.0
Telangana,3,1664622.0,115018.0
Telangana,4,2320539.0,740403.0
Telangana,5,2367600.0,285999.0
Telangana,6,3889567.0,784202.0
Telangana,7,1366493.0,2018389.0
Tripura,1,61525.0,334.0
Tripura,2,71420.0,47242.0
Tripura,3,614049.0,50575.0
Tripura,4,233325.0,407534.0
Tripura,5,184097.0,11313.0
Tripura,6,944962.0,156028.0
Tripura,7,324319.0,153760.0
Uttar Pradesh,1,864487.0,2.0
Uttar Pradesh,2,1182124.0,621447.0
Uttar Pradesh,3,6559212.0,800355.0
Uttar Pradesh,4,2985106.0,1758456.0
Uttar Pradesh,5,8012266.0,656357.0
Uttar Pradesh,6,13062798.0,2334818.0
Uttar Pradesh,7,15582272.0,3008708.0
Uttarakhand,1,111576.0,410.0
Uttarakhand,2,146971.0,85924.0
Uttarakhand,3,970154.0,117498.0
Uttarakhand,4,708635.0,472322.0
Uttarakhand,5,733711.0,29633.0
Uttarakhand,6,1297162.0,350423.0
Uttarakhand,7,1527648.0,666244.0
West Bengal,1,484229.0,1136.0
West Bengal,2,1520187.0,358496.0
West Bengal,3,5393997.0,684847.0
West Bengal,4,1530657.0,2635698.0
West Bengal,5,4867786.0,389004.0
West Bengal,6,4339291.0,2829027.0
West Bengal,7,6679376.0,2490941.0
