districtid,timeid,cases
BR_Buxar,14,664
BR_Buxar,15,22
BR_Buxar,16,8
BR_East Champaran,1,15
BR_East Champaran,2,128
BR_East Champaran,3,327
BR_East Champaran,4,2768
BR_East Champaran,5,2596
BR_East Champaran,6,1351
BR_East Champaran,7,682
BR_East Champaran,8,327
BR_East Champaran,9,191
BR_East Champaran,10,65
BR_East Champaran,11,26
BR_East Champaran,12,408
BR_East Champaran,13,7473
BR_East Champaran,14,2393
BR_East Champaran,15,197
BR_East Champaran,16,53
BR_Gaya,1,8
BR_Gaya,2,127
BR_Gaya,3,387
BR_Gaya,4,3033
BR_Gaya,5,1612
BR_Gaya,6,985
BR_Gaya,7,921
BR_Gaya,8,499
BR_Gaya,9,308
BR_Gaya,10,206
BR_Gaya,11,39
BR_Gaya,12,2187
BR_Gaya,13,20607
BR_Gaya,14,2868
BR_Gaya,15,100
BR_Gaya,16,53
BR_Gopalganj,1,24
BR_Gopalganj,2,143
BR_Gopalganj,3,326
BR_Gopalganj,4,1361
BR_Gopalganj,5,1637
BR_Gopalganj,6,1151
BR_Gopalganj,7,650
BR_Gopalganj,8,338
BR_Gopalganj,9,161
BR_Gopalganj,10,30
BR_Gopalganj,11,8
BR_Gopalganj,12,467
BR_Gopalganj,13,7058
BR_Gopalganj,14,3030
BR_Gopalganj,15,268
BR_Gopalganj,16,19
BR_Jehanabad,1,26
BR_Jehanabad,2,161
BR_Jehanabad,3,174
BR_Jehanabad,4,1364
BR_Jehanabad,5,945
BR_Jehanabad,6,632
BR_Jehanabad,7,647
BR_Jehanabad,8,325
BR_Jehanabad,9,283
BR_Jehanabad,10,31
BR_Jehanabad,11,10
BR_Jehanabad,12,1135
BR_Jehanabad,13,4562
BR_Jehanabad,14,443
BR_Jehanabad,15,24
BR_Jehanabad,16,12
BR_Kaimur,1,33
BR_Kaimur,2,105
BR_Kaimur,3,112
BR_Kaimur,4,707
BR_Kaimur,5,507
BR_Kaimur,6,268
BR_Kaimur,7,138
BR_Kaimur,8,93
BR_Kaimur,9,211
BR_Kaimur,10,82
BR_Kaimur,11,16
BR_Kaimur,12,192
BR_Kaimur,13,2213
BR_Kaimur,14,267
BR_Kaimur,15,30
BR_Kaimur,16,9
BR_Lakhisarai,1,12
BR_Lakhisarai,2,60
BR_Lakhisarai,3,183
BR_Lakhisarai,4,995
BR_Lakhisarai,5,1012
BR_Lakhisarai,6,764
BR_Lakhisarai,7,343
BR_Lakhisarai,8,233
BR_Lakhisarai,9,185
BR_Lakhisarai,10,56
BR_Lakhisarai,11,19
BR_Lakhisarai,12,271
BR_Lakhisarai,13,2711
