districtid,timeid,dose1,dose2
AP_East Godavari,5,5468.0,301.0
AP_East Godavari,6,6711.0,4189.0
AP_East Godavari,7,9612.0,7603.0
AP_East Godavari,8,14003.0,7046.0
AP_East Godavari,9,27104.0,6763.0
AP_East Godavari,10,53331.0,6364.0
AP_East Godavari,11,61245.0,7423.0
AP_East Godavari,12,38013.0,2478.0
AP_East Godavari,13,62966.0,14795.0
AP_East Godavari,14,72392.0,10523.0
AP_East Godavari,15,44552.0,61242.0
AP_East Godavari,16,52050.0,37828.0
AP_East Godavari,17,11738.0,30496.0
AP_East Godavari,18,4967.0,8374.0
AP_East Godavari,19,3298.0,26204.0
AP_East Godavari,20,196451.0,17126.0
AP_East Godavari,21,81984.0,4767.0
AP_East Godavari,22,123698.0,1250.0
AP_East Godavari,23,60655.0,572.0
AP_East Godavari,24,191003.0,17470.0
AP_East Godavari,25,152745.0,22813.0
AP_East Godavari,26,39974.0,39850.0
AP_East Godavari,27,101683.0,57558.0
AP_East Godavari,28,54724.0,51655.0
AP_East Godavari,29,182868.0,56708.0
AP_East Godavari,30,239357.0,51075.0
AP_Guntur,1,303.0,0.0
AP_Guntur,2,3174.0,0.0
AP_Guntur,3,5396.0,0.0
AP_Guntur,4,6811.0,0.0
AP_Guntur,5,6595.0,1086.0
AP_Guntur,6,13785.0,5895.0
AP_Guntur,7,13238.0,3060.0
AP_Guntur,8,12115.0,3825.0
AP_Guntur,9,14562.0,5088.0
AP_Guntur,10,33485.0,7243.0
AP_Guntur,11,51973.0,7934.0
AP_Guntur,12,47332.0,5396.0
AP_Guntur,13,63977.0,9129.0
AP_Guntur,14,68230.0,6355.0
AP_Guntur,15,61606.0,42091.0
AP_Guntur,16,60285.0,21237.0
AP_Guntur,17,29194.0,32102.0
AP_Guntur,18,7299.0,22036.0
AP_Guntur,19,9247.0,15162.0
AP_Guntur,20,152440.0,22906.0
AP_Guntur,21,81969.0,9366.0
AP_Guntur,22,88154.0,7647.0
AP_Guntur,23,58124.0,8600.0
AP_Guntur,24,182062.0,28971.0
AP_Guntur,25,124702.0,28917.0
AP_Guntur,26,40069.0,12451.0
AP_Guntur,27,125905.0,60879.0
AP_Guntur,28,38329.0,56945.0
AP_Guntur,29,126988.0,64637.0
AP_Guntur,30,231186.0,103483.0
AP_Krishna,1,144.0,0.0
AP_Krishna,2,4393.0,0.0
AP_Krishna,3,5503.0,0.0
AP_Krishna,4,7259.0,0.0
AP_Krishna,5,7360.0,525.0
AP_Krishna,6,5112.0,6561.0
AP_Krishna,7,10344.0,4324.0
AP_Krishna,8,10622.0,3201.0
AP_Krishna,9,21069.0,6327.0
AP_Krishna,10,42785.0,4674.0
AP_Krishna,11,51408.0,6327.0
AP_Krishna,12,48922.0,4496.0
AP_Krishna,13,65440.0,6132.0
AP_Krishna,14,83044.0,4742.0
AP_Krishna,15,50683.0,49445.0
AP_Krishna,16,58323.0,35153.0
AP_Krishna,17,20323.0,42632.0
AP_Krishna,18,5469.0,37842.0
AP_Krishna,19,7482.0,20487.0
AP_Krishna,20,168626.0,11410.0
AP_Krishna,21,86588.0,5265.0
AP_Krishna,22,128215.0,5890.0
AP_Krishna,23,56532.0,3695.0
AP_Krishna,24,204267.0,27920.0
AP_Krishna,25,99712.0,41564.0
AP_Krishna,26,29328.0,19280.0
AP_Krishna,27,40128.0,63668.0
AP_Krishna,28,85962.0,47349.0
AP_Krishna,29,127294.0,45350.0
AP_Krishna,30,223924.0,53330.0
AP_Kurnool,1,214.0,0.0
AP_Kurnool,2,3572.0,0.0
AP_Kurnool,3,3057.0,0.0
AP_Kurnool,4,9757.0,0.0
AP_Kurnool,5,4804.0,507.0
AP_Kurnool,6,6159.0,5033.0
AP_Kurnool,7,6973.0,2790.0
AP_Kurnool,8,6273.0,3637.0
AP_Kurnool,9,11088.0,3614.0
AP_Kurnool,10,30788.0,4010.0
AP_Kurnool,11,59180.0,3822.0
AP_Kurnool,12,39595.0,3154.0
AP_Kurnool,13,67498.0,5689.0
AP_Kurnool,14,43961.0,3888.0
AP_Kurnool,15,37187.0,41220.0
AP_Kurnool,16,43758.0,28287.0
AP_Kurnool,17,12550.0,35190.0
AP_Kurnool,18,3352.0,13041.0
AP_Kurnool,19,9545.0,14680.0
AP_Kurnool,20,108733.0,4713.0
AP_Kurnool,21,62562.0,4565.0
AP_Kurnool,22,60533.0,1417.0
AP_Kurnool,23,28129.0,416.0
AP_Kurnool,24,119318.0,11516.0
AP_Kurnool,25,94180.0,20846.0
AP_Kurnool,26,9569.0,9939.0
AP_Kurnool,27,94945.0,57333.0
AP_Kurnool,28,29049.0,41838.0
AP_Kurnool,29,75143.0,79479.0
AP_Kurnool,30,161220.0,92004.0
AP_Prakasam,1,202.0,0.0
AP_Prakasam,2,6383.0,0.0
AP_Prakasam,3,2615.0,0.0
AP_Prakasam,4,4817.0,0.0
AP_Prakasam,5,7876.0,137.0
AP_Prakasam,6,3414.0,3506.0
AP_Prakasam,7,6550.0,2843.0
AP_Prakasam,8,5824.0,1596.0
AP_Prakasam,9,10784.0,2653.0
AP_Prakasam,10,25546.0,6845.0
AP_Prakasam,11,44152.0,3720.0
AP_Prakasam,12,52215.0,4021.0
AP_Prakasam,13,44883.0,4827.0
AP_Prakasam,14,57871.0,4532.0
AP_Prakasam,15,37395.0,32415.0
AP_Prakasam,16,44386.0,34129.0
AP_Prakasam,17,19314.0,34225.0
AP_Prakasam,18,1626.0,7033.0
AP_Prakasam,19,17266.0,26542.0
AP_Prakasam,20,114760.0,7894.0
AP_Prakasam,21,61460.0,14224.0
AP_Prakasam,22,72663.0,3336.0
AP_Prakasam,23,24697.0,1243.0
AP_Prakasam,24,157027.0,17632.0
AP_Prakasam,25,78892.0,16326.0
AP_Prakasam,26,24046.0,12173.0
AP_Prakasam,27,96432.0,32374.0
AP_Prakasam,28,19397.0,31970.0
AP_Prakasam,29,52507.0,120999.0
AP_Prakasam,30,136912.0,88596.0
AP_S.P.S. Nellore,1,277.0,0.0
AP_S.P.S. Nellore,2,5659.0,0.0
AP_S.P.S. Nellore,3,6518.0,0.0
AP_S.P.S. Nellore,4,14431.0,0.0
AP_S.P.S. Nellore,5,5320.0,656.0
AP_S.P.S. Nellore,6,8164.0,8992.0
AP_S.P.S. Nellore,7,8471.0,4880.0
AP_S.P.S. Nellore,8,11531.0,4787.0
AP_S.P.S. Nellore,9,13202.0,4419.0
AP_S.P.S. Nellore,10,35573.0,9774.0
AP_S.P.S. Nellore,11,44788.0,7970.0
AP_S.P.S. Nellore,12,33394.0,4696.0
AP_S.P.S. Nellore,13,42868.0,6163.0
AP_S.P.S. Nellore,14,54787.0,6013.0
AP_S.P.S. Nellore,15,30394.0,43730.0
AP_S.P.S. Nellore,16,47084.0,26938.0
AP_S.P.S. Nellore,17,24135.0,31388.0
AP_S.P.S. Nellore,18,6041.0,18563.0
AP_S.P.S. Nellore,19,6682.0,5596.0
AP_S.P.S. Nellore,20,114953.0,5796.0
AP_S.P.S. Nellore,21,55848.0,5349.0
AP_S.P.S. Nellore,22,59906.0,5062.0
AP_S.P.S. Nellore,23,29155.0,2188.0
AP_S.P.S. Nellore,24,122740.0,24697.0
AP_S.P.S. Nellore,25,55345.0,54629.0
AP_S.P.S. Nellore,26,30696.0,37913.0
