Node1,Node2
BR_jamui,BR_lakhisarai
BR_jamui,BR_munger
BR_jamui,BR_nawada
BR_jamui,BR_sheikhpura
BR_jamui,JH_deoghar
BR_jamui,JH_giridih
BR_jehanabad,BR_nalanda
BR_jehanabad,BR_patna
BR_kaimur,BR_rohtas
BR_kaimur,UP_chandauli
BR_kaimur,UP_ghazipur
BR_kaimur,UP_sonbhadra
BR_katihar,BR_purnia
BR_katihar,JH_sahibganj
BR_katihar,WB_malda
BR_katihar,WB_uttar dinajpur
BR_khagaria,BR_madhepura
BR_khagaria,BR_munger
BR_khagaria,BR_saharsa
BR_khagaria,BR_samastipur
BR_kishanganj,BR_purnia
BR_kishanganj,WB_darjeeling
BR_kishanganj,WB_uttar dinajpur
BR_lakhisarai,BR_munger
BR_lakhisarai,BR_nalanda
BR_lakhisarai,BR_patna
BR_lakhisarai,BR_sheikhpura
BR_madhepura,BR_purnia
BR_madhepura,BR_saharsa
BR_madhepura,BR_supaul
BR_madhubani,BR_saharsa
BR_madhubani,BR_sitamarhi
BR_madhubani,BR_supaul
BR_muzaffarpur,BR_samastipur
BR_muzaffarpur,BR_saran
BR_muzaffarpur,BR_sheohar
BR_muzaffarpur,BR_sitamarhi
BR_muzaffarpur,BR_vaishali
BR_nalanda,BR_nawada
BR_nalanda,BR_patna
BR_nalanda,BR_sheikhpura
BR_nawada,BR_sheikhpura
BR_nawada,JH_giridih
BR_nawada,JH_koderma
BR_patna,BR_samastipur
BR_patna,BR_saran
BR_patna,BR_vaishali
BR_purnia,WB_uttar dinajpur
BR_rohtas,JH_garhwa
BR_rohtas,JH_palamu
BR_rohtas,MH_aurangabad
BR_rohtas,UP_sonbhadra
BR_saharsa,BR_samastipur
BR_saharsa,BR_supaul
BR_samastipur,BR_vaishali
BR_saran,BR_siwan
BR_saran,BR_vaishali
BR_saran,UP_ballia
BR_sheohar,BR_sitamarhi
BR_siwan,UP_ballia
BR_siwan,UP_deoria
BR_west champaran,UP_kushinagar
BR_west champaran,UP_maharajganj
CH_chandigarh,HR_panchkula
