District_Key,State,District,mvacc,fvacc
HR_Kaithal,Haryana,Kaithal,216510.0,200100.0
HR_Karnal,Haryana,Karnal,390964.0,349585.0
HR_Kurukshetra,Haryana,Kurukshetra,238043.0,216654.0
HR_Mahendragarh,Haryana,Mahendragarh,246860.0,219830.0
HR_Nuh,Haryana,Nuh,117069.0,62950.0
HR_Palwal,Haryana,Palwal,237818.0,185444.0
HR_Panchkula,Haryana,Panchkula,248571.0,217160.0
HR_Panipat,Haryana,Panipat,268697.0,202914.0
HR_Rewari,Haryana,Rewari,274808.0,207909.0
HR_Rohtak,Haryana,Rohtak,274421.0,227804.0
HR_Sirsa,Haryana,Sirsa,294583.0,265072.0
HR_Sonipat,Haryana,Sonipat,422842.0,344123.0
HR_Yamunanagar,Haryana,Yamunanagar,302254.0,262863.0
JH_Bokaro,Jharkhand,Bokaro,354075.0,258267.0
JH_Chatra,Jharkhand,Chatra,166385.0,143524.0
JH_Deoghar,Jharkhand,Deoghar,259122.0,202763.0
JH_Dhanbad,Jharkhand,Dhanbad,463116.0,343719.0
JH_Dumka,Jharkhand,Dumka,223229.0,209020.0
JH_East Singhbhum,Jharkhand,East Singhbhum,586703.0,455385.0
JH_Garhwa,Jharkhand,Garhwa,199295.0,154567.0
JH_Giridih,Jharkhand,Giridih,356495.0,317838.0
JH_Godda,Jharkhand,Godda,242630.0,203679.0
JH_Gumla,Jharkhand,Gumla,168779.0,171524.0
JH_Hazaribagh,Jharkhand,Hazaribagh,331367.0,278616.0
JH_Jamtara,Jharkhand,Jamtara,160687.0,130178.0
JH_Khunti,Jharkhand,Khunti,105744.0,92400.0
JH_Koderma,Jharkhand,Koderma,161021.0,152556.0
JH_Latehar,Jharkhand,Latehar,117258.0,87274.0
JH_Lohardaga,Jharkhand,Lohardaga,89015.0,75748.0
JH_Pakur,Jharkhand,Pakur,148358.0,126733.0
JH_Palamu,Jharkhand,Palamu,339523.0,281105.0
JH_Ramgarh,Jharkhand,Ramgarh,193384.0,150716.0
JH_Ranchi,Jharkhand,Ranchi,597771.0,490760.0
JH_Sahibganj,Jharkhand,Sahibganj,170404.0,137015.0
JH_Saraikela-Kharsawan,Jharkhand,Saraikela-Kharsawan,203706.0,140738.0
JH_Simdega,Jharkhand,Simdega,118236.0,113006.0
JH_West Singhbhum,Jharkhand,West Singhbhum,241844.0,215353.0
JK_Anantnag,Jammu and Kashmir,Anantnag,271586.0,198723.0
JK_Bandipora,Jammu and Kashmir,Bandipora,114069.0,75338.0
JK_Baramulla,Jammu and Kashmir,Baramulla,307763.0,227393.0
JK_Budgam,Jammu and Kashmir,Budgam,240481.0,163405.0
JK_Doda,Jammu and Kashmir,Doda,132992.0,111474.0
JK_Ganderbal,Jammu and Kashmir,Ganderbal,104170.0,77123.0
JK_Jammu,Jammu and Kashmir,Jammu,565690.0,466370.0
JK_Kathua,Jammu and Kashmir,Kathua,206754.0,181006.0
JK_Kishtwar,Jammu and Kashmir,Kishtwar,77029.0,57064.0
JK_Kulgam,Jammu and Kashmir,Kulgam,157585.0,115733.0
JK_Kupwara,Jammu and Kashmir,Kupwara,246610.0,174972.0
JK_Pulwama,Jammu and Kashmir,Pulwama,187393.0,132800.0
JK_Punch,Jammu and Kashmir,Punch,165149.0,133352.0
JK_Rajouri,Jammu and Kashmir,Rajouri,203896.0,165647.0
JK_Ramban,Jammu and Kashmir,Ramban,128239.0,84631.0
JK_Reasi,Jammu and Kashmir,Reasi,128390.0,91682.0
JK_Samba,Jammu and Kashmir,Samba,141883.0,114651.0
JK_Shopiyan,Jammu and Kashmir,Shopiyan,95594.0,67108.0
JK_Srinagar,Jammu and Kashmir,Srinagar,401728.0,216555.0
JK_Udhampur,Jammu and Kashmir,Udhampur,201025.0,185355.0
KA_Bagalkote,Karnataka,Bagalkote,416242.0,435412.0
KA_Ballari,Karnataka,Ballari,632320.0,621736.0
KA_Belagavi,Karnataka,Belagavi,1013034.0,1034774.0
KA_Bengaluru Rural,Karnataka,Bengaluru Rural,302536.0,258282.0
KA_Bengaluru Urban,Karnataka,Bengaluru Urban,4982064.0,4336143.0
KA_Bidar,Karnataka,Bidar,369466.0,389268.0
KA_Chamarajanagara,Karnataka,Chamarajanagara,236518.0,273939.0
KA_Chikkaballapura,Karnataka,Chikkaballapura,327548.0,341010.0
KA_Chikkamagaluru,Karnataka,Chikkamagaluru,264764.0,291843.0
KA_Chitradurga,Karnataka,Chitradurga,407989.0,425803.0
KA_Dakshina Kannada,Karnataka,Dakshina Kannada,645258.0,659918.0
KA_Davanagere,Karnataka,Davanagere,378527.0,390354.0
KA_Dharwad,Karnataka,Dharwad,475522.0,454227.0
KA_Gadag,Karnataka,Gadag,238596.0,257706.0
KA_Hassan,Karnataka,Hassan,432594.0,482569.0
KA_Haveri,Karnataka,Haveri,285464.0,296798.0
KA_Kalaburagi,Karnataka,Kalaburagi,475188.0,456446.0
KA_Kodagu,Karnataka,Kodagu,156951.0,170446.0
KA_Kolar,Karnataka,Kolar,426858.0,419225.0
KA_Koppal,Karnataka,Koppal,300432.0,322670.0
KA_Mandya,Karnataka,Mandya,433044.0,517419.0
KA_Mysuru,Karnataka,Mysuru,943733.0,995609.0
KA_Raichur,Karnataka,Raichur,349592.0,366849.0
KA_Ramanagara,Karnataka,Ramanagara,312826.0,354608.0
KA_Shivamogga,Karnataka,Shivamogga,426647.0,441172.0
KA_Tumakuru,Karnataka,Tumakuru,631738.0,659570.0
KA_Udupi,Karnataka,Udupi,386227.0,435026.0
KA_Uttara Kannada,Karnataka,Uttara Kannada,382786.0,380397.0
KA_Vijayapura,Karnataka,Vijayapura,465816.0,438718.0
KA_Yadgir,Karnataka,Yadgir,232423.0,253277.0
KL_Alappuzha,Kerala,Alappuzha,680075.0,795914.0
KL_Ernakulam,Kerala,Ernakulam,1449609.0,1518939.0
KL_Idukki,Kerala,Idukki,407294.0,430513.0
KL_Kannur,Kerala,Kannur,836091.0,901000.0
KL_Kasaragod,Kerala,Kasaragod,457005.0,467843.0
KL_Kollam,Kerala,Kollam,834658.0,987286.0
KL_Kottayam,Kerala,Kottayam,700283.0,783876.0
KL_Kozhikode,Kerala,Kozhikode,1030967.0,1061123.0
KL_Malappuram,Kerala,Malappuram,1020267.0,933635.0
KL_Palakkad,Kerala,Palakkad,788189.0,841858.0
KL_Pathanamthitta,Kerala,Pathanamthitta,576655.0,684620.0
KL_Thiruvananthapuram,Kerala,Thiruvananthapuram,1262273.0,1436743.0
KL_Thrissur,Kerala,Thrissur,1035617.0,1199038.0
KL_Wayanad,Kerala,Wayanad,393612.0,419754.0
LA_Kargil,Ladakh,Kargil,60958.0,51833.0
LA_Leh,Ladakh,Leh,87110.0,62432.0
LD_Lakshadweep,Lakshadweep,Lakshadweep,37963.0,31585.0
MH_Ahmednagar,Maharashtra,Ahmednagar,780030.0,629592.0
MH_Akola,Maharashtra,Akola,319445.0,278852.0
MH_Amravati,Maharashtra,Amravati,495216.0,448438.0
MH_Aurangabad,Maharashtra,Aurangabad,751545.0,578850.0
MH_Beed,Maharashtra,Beed,440266.0,361228.0
MH_Bhandara,Maharashtra,Bhandara,307875.0,312103.0
MH_Buldhana,Maharashtra,Buldhana,469174.0,418480.0
MH_Chandrapur,Maharashtra,Chandrapur,406125.0,344447.0
MH_Dhule,Maharashtra,Dhule,368320.0,334924.0
MH_Gadchiroli,Maharashtra,Gadchiroli,189679.0,166625.0
MH_Gondia,Maharashtra,Gondia,348013.0,352187.0
MH_Hingoli,Maharashtra,Hingoli,161871.0,141709.0
MH_Jalgaon,Maharashtra,Jalgaon,591824.0,511656.0
MH_Jalna,Maharashtra,Jalna,365153.0,316707.0
MH_Kolhapur,Maharashtra,Kolhapur,1009605.0,971848.0
MH_Latur,Maharashtra,Latur,441416.0,376636.0
MH_Mumbai,Maharashtra,Mumbai,4632533.0,3611177.0
MH_Nagpur,Maharashtra,Nagpur,1402315.0,1268434.0
MH_Nanded,Maharashtra,Nanded,476499.0,424974.0
MH_Nandurbar,Maharashtra,Nandurbar,282298.0,253043.0
MH_Nashik,Maharashtra,Nashik,1161244.0,940917.0
MH_Osmanabad,Maharashtra,Osmanabad,272176.0,224452.0
MH_Palghar,Maharashtra,Palghar,455167.0,363519.0
MH_Parbhani,Maharashtra,Parbhani,313920.0,283321.0
MH_Pune,Maharashtra,Pune,3800332.0,3068934.0
MH_Raigad,Maharashtra,Raigad,581291.0,417124.0
MH_Ratnagiri,Maharashtra,Ratnagiri,298899.0,256070.0
MH_Sangli,Maharashtra,Sangli,745587.0,705407.0
MH_Satara,Maharashtra,Satara,760605.0,706382.0
MH_Sindhudurg,Maharashtra,Sindhudurg,205042.0,194083.0
MH_Solapur,Maharashtra,Solapur,622805.0,502968.0
MH_Thane,Maharashtra,Thane,2168411.0,1793826.0
MH_Wardha,Maharashtra,Wardha,300251.0,287780.0
MH_Washim,Maharashtra,Washim,281304.0,249055.0
MH_Yavatmal,Maharashtra,Yavatmal,477511.0,409404.0
ML_East Garo Hills,Meghalaya,East Garo Hills,27235.0,21986.0
ML_East Jaintia Hills,Meghalaya,East Jaintia Hills,41114.0,25739.0
ML_East Khasi Hills,Meghalaya,East Khasi Hills,195161.0,176798.0
ML_North Garo Hills,Meghalaya,North Garo Hills,32599.0,30124.0
ML_Ribhoi,Meghalaya,Ribhoi,53794.0,42836.0
ML_South Garo Hills,Meghalaya,South Garo Hills,22137.0,18583.0
ML_South West Garo Hills,Meghalaya,South West Garo Hills,39342.0,38550.0
ML_South West Khasi Hills,Meghalaya,South West Khasi Hills,20112.0,16776.0
ML_West Garo Hills,Meghalaya,West Garo Hills,122821.0,113370.0
ML_West Jaintia Hills,Meghalaya,West Jaintia Hills,47952.0,49791.0
ML_West Khasi Hills,Meghalaya,West Khasi Hills,44869.0,44312.0
MN_Bishnupur,Manipur,Bishnupur,72899.0,70880.0
MN_Chandel,Manipur,Chandel,19632.0,12999.0
MN_Churachandpur,Manipur,Churachandpur,65361.0,56997.0
MN_Imphal East,Manipur,Imphal East,159340.0,140352.0
MN_Imphal West,Manipur,Imphal West,191413.0,169415.0
MN_Jiribam,Manipur,Jiribam,16662.0,12251.0
MN_Kakching,Manipur,Kakching,47859.0,44162.0
MN_Kamjong,Manipur,Kamjong,6703.0,4603.0
MN_Kangpokpi,Manipur,Kangpokpi,23416.0,19793.0
MN_Noney,Manipur,Noney,13189.0,7266.0
MN_Pherzawl,Manipur,Pherzawl,7051.0,6724.0
MN_Senapati,Manipur,Senapati,18511.0,11722.0
MN_Tamenglong,Manipur,Tamenglong,14362.0,9048.0
MN_Tengnoupal,Manipur,Tengnoupal,17513.0,10916.0
MN_Thoubal,Manipur,Thoubal,87188.0,77039.0
MN_Ukhrul,Manipur,Ukhrul,15022.0,9607.0
MP_Agar Malwa,Madhya Pradesh,Agar Malwa,163787.0,139511.0
MP_Alirajpur,Madhya Pradesh,Alirajpur,147710.0,127698.0
MP_Anuppur,Madhya Pradesh,Anuppur,181481.0,164653.0
MP_Ashoknagar,Madhya Pradesh,Ashoknagar,215235.0,172902.0
MP_Balaghat,Madhya Pradesh,Balaghat,406647.0,391426.0
MP_Barwani,Madhya Pradesh,Barwani,276280.0,247053.0
MP_Betul,Madhya Pradesh,Betul,429232.0,375355.0
MP_Bhind,Madhya Pradesh,Bhind,393971.0,306749.0
MP_Bhopal,Madhya Pradesh,Bhopal,1152691.0,933578.0
MP_Burhanpur,Madhya Pradesh,Burhanpur,218411.0,193015.0
MP_Chhatarpur,Madhya Pradesh,Chhatarpur,421192.0,316189.0
MP_Chhindwara,Madhya Pradesh,Chhindwara,525922.0,453564.0
MP_Damoh,Madhya Pradesh,Damoh,317668.0,278788.0
MP_Datia,Madhya Pradesh,Datia,222928.0,185888.0
MP_Dewas,Madhya Pradesh,Dewas,424764.0,377492.0
MP_Dhar,Madhya Pradesh,Dhar,490973.0,429507.0
MP_Dindori,Madhya Pradesh,Dindori,175675.0,178156.0
MP_Guna,Madhya Pradesh,Guna,311643.0,250407.0
MP_Gwalior,Madhya Pradesh,Gwalior,713478.0,568426.0
MP_Harda,Madhya Pradesh,Harda,212976.0,183686.0
MP_Hoshangabad,Madhya Pradesh,Hoshangabad,345663.0,300243.0
MP_Indore,Madhya Pradesh,Indore,1798116.0,1521598.0
MP_Jabalpur,Madhya Pradesh,Jabalpur,866830.0,779684.0
MP_Jhabua,Madhya Pradesh,Jhabua,203166.0,189864.0
MP_Katni,Madhya Pradesh,Katni,308371.0,262117.0
MP_Khandwa,Madhya Pradesh,Khandwa,348463.0,317421.0
MP_Khargone,Madhya Pradesh,Khargone,416226.0,388760.0
MP_Mandla,Madhya Pradesh,Mandla,218683.0,215990.0
MP_Mandsaur,Madhya Pradesh,Mandsaur,335720.0,292566.0
MP_Morena,Madhya Pradesh,Morena,449303.0,357142.0
MP_Narsinghpur,Madhya Pradesh,Narsinghpur,306105.0,268609.0
MP_Neemuch,Madhya Pradesh,Neemuch,249954.0,219509.0
MP_Panna,Madhya Pradesh,Panna,241149.0,188822.0
MP_Raisen,Madhya Pradesh,Raisen,347790.0,275191.0
MP_Rajgarh,Madhya Pradesh,Rajgarh,421584.0,371363.0
MP_Ratlam,Madhya Pradesh,Ratlam,403671.0,353441.0
MP_Rewa,Madhya Pradesh,Rewa,570478.0,459067.0
MP_Sagar,Madhya Pradesh,Sagar,711568.0,569813.0
MP_Satna,Madhya Pradesh,Satna,489179.0,391212.0
MP_Sehore,Madhya Pradesh,Sehore,445565.0,382563.0
MP_Seoni,Madhya Pradesh,Seoni,330650.0,310846.0
MP_Shahdol,Madhya Pradesh,Shahdol,316731.0,268859.0
MP_Shajapur,Madhya Pradesh,Shajapur,258525.0,233941.0
MP_Sheopur,Madhya Pradesh,Sheopur,123656.0,102117.0
MP_Shivpuri,Madhya Pradesh,Shivpuri,367642.0,293234.0
MP_Sidhi,Madhya Pradesh,Sidhi,246169.0,194349.0
MP_Singrauli,Madhya Pradesh,Singrauli,286171.0,181690.0
MP_Tikamgarh,Madhya Pradesh,Tikamgarh,364107.0,275611.0
MP_Ujjain,Madhya Pradesh,Ujjain,720147.0,658979.0
MP_Umaria,Madhya Pradesh,Umaria,152709.0,131138.0
MP_Vidisha,Madhya Pradesh,Vidisha,368929.0,305276.0
MZ_Aizawl,Mizoram,Aizawl,199697.0,204970.0
MZ_Champhai,Mizoram,Champhai,47255.0,47539.0
MZ_Kolasib,Mizoram,Kolasib,29162.0,29778.0
MZ_Lawngtlai,Mizoram,Lawngtlai,26340.0,23594.0
MZ_Lunglei,Mizoram,Lunglei,61220.0,56680.0
MZ_Mamit,Mizoram,Mamit,29167.0,25739.0
MZ_Saiha,Mizoram,Saiha,20803.0,20188.0
MZ_Serchhip,Mizoram,Serchhip,29174.0,26351.0
